regiao,canal_vendas,cidade,marca,linha,tipo_marca,categoria_produto,produto,preco_unitario_base,desconto_percentual,preco_liquido,quantidade,vendas,custo,lucro,mes,lat,lon,meta_global,meta_regional,prev_vendas,pct_atingido
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1014,0.3,1011.46,45,45515.7,31860.99,13654.71,1,-3.1,-60.0,25492035.162000004,5087558.069,45515.7,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1150,2.2,1124.33,22,24735.26,17314.68,7420.58,2,-3.1,-60.0,24007332.712000005,5152867.016,35125.479999999996,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1458,0.9,1445.32,11,15898.52,11128.96,4769.56,3,-3.1,-60.0,24062997.717,4554897.105,28716.493333333332,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,932,0.3,929.22,32,29735.04,20814.53,8920.51,4,-3.1,-60.0,25087441.577000003,5270982.893,23456.273333333334,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1138,5.1,1080.49,18,19448.82,13614.17,5834.65,5,-3.1,-60.0,25561263.079000004,5437530.252,21694.126666666667,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1474,2.0,1444.69,6,8668.14,6067.7,2600.44,6,-3.1,-60.0,24567094.541,5263423.341,19284.0,0.0
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1458,4.2,1396.83,46,64254.18,44977.93,19276.25,7,-3.1,-60.0,25337932.928000003,5054322.449,30790.38,0.3
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1184,8.1,1088.16,33,35909.28,25136.5,10772.78,8,-3.1,-60.0,25121686.084000003,5420667.23,36277.200000000004,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1063,7.0,988.79,5,4943.95,3460.76,1483.19,9,-3.1,-60.0,25969214.744000003,5054133.777000001,35035.80333333333,0.0
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1184,1.6,1165.59,26,30305.34,21213.74,9091.6,10,-3.1,-60.0,24629960.927,5063079.703000001,23719.523333333334,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1004,0.9,994.69,26,25861.94,18103.36,7758.58,11,-3.1,-60.0,25209761.709000003,5400490.370000001,20370.41,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 26 Garrafas,1267,8.5,1159.62,11,12755.82,8929.07,3826.75,12,-3.1,-60.0,25567661.658000004,5417404.201,22974.36666666667,0.0
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1170,8.1,1075.57,43,46249.51,32374.66,13874.85,1,-3.1,-60.0,25492035.162000004,5087558.069,28289.089999999997,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1449,1.2,1430.91,34,48650.94,34055.66,14595.28,2,-3.1,-60.0,24007332.712000005,5152867.016,35885.42333333333,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,980,5.5,925.9,29,26851.1,18795.77,8055.33,3,-3.1,-60.0,24062997.717,4554897.105,40583.85,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1270,5.8,1196.68,45,53850.6,37695.42,16155.18,4,-3.1,-60.0,25087441.577000003,5270982.893,43117.54666666666,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,971,0.5,966.55,50,48327.5,33829.25,14498.25,5,-3.1,-60.0,25561263.079000004,5437530.252,43009.73333333333,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1196,9.9,1078.17,19,20485.23,14339.66,6145.57,6,-3.1,-60.0,24567094.541,5263423.341,40887.776666666665,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1003,3.8,964.87,19,18332.53,12832.77,5499.76,7,-3.1,-60.0,25337932.928000003,5054322.449,29048.42,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1273,1.6,1252.29,34,42577.86,29804.5,12773.36,8,-3.1,-60.0,25121686.084000003,5420667.23,27131.873333333333,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1114,6.7,1039.34,27,28062.18,19643.53,8418.65,9,-3.1,-60.0,25969214.744000003,5054133.777000001,29657.523333333334,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,973,6.1,913.73,49,44772.77,31340.94,13431.83,10,-3.1,-60.0,24629960.927,5063079.703000001,38470.93666666667,0.2
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1446,7.3,1340.57,15,20108.55,14075.98,6032.57,11,-3.1,-60.0,25209761.709000003,5400490.370000001,30981.166666666668,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Adega,Adega Dual Zone 45 Garrafas,1373,3.8,1320.9,15,19813.5,13869.45,5944.05,12,-3.1,-60.0,25567661.658000004,5417404.201,28231.606666666663,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Beer Center,Beer Center 120L,1470,2.2,1437.72,45,64697.4,45288.18,19409.22,1,-3.1,-60.0,25492035.162000004,5087558.069,34873.15,0.3
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Beer Center,Beer Center 120L,957,2.3,935.08,25,23377.0,16363.9,7013.1,2,-3.1,-60.0,24007332.712000005,5152867.016,35962.63333333333,0.1
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Beer Center,Beer Center 120L,1223,4.0,1173.94,7,8217.58,5752.31,2465.27,3,-3.1,-60.0,24062997.717,4554897.105,32097.326666666664,0.0
Norte,Loja Própria,Manaus,Marca A,Luxo,Linha Luxo,Beer Center,Beer Center 120L,1116,9.1,1014.09,9,9126.81,6388.77,2738.04,4,-3.1,-60.0,25087441.577000003,5270982.893,13573.796666666669,0.0
